0,1,2,3
Kotwica Port Morski Kołobrzeg -  WKK Active Hotel Wrocław Emocje TV - 2026-01-09 18:55,,09.01.2026 19:00,09.01.2026 19:00  76:82
ŁKS Coolpack Łódź -  KSK Qemetica Noteć Inowrocław Emocje TV - 2026-01-10 17:55,,10.01.2026 18:00,10.01.2026 18:00  82:84
Enea Basket Poznań -  GKS Tychy Emocje TV - 2026-01-10 19:55,,10.01.2026 20:00,10.01.2026 20:00  82:71
Weegree AZS Politechnika Opolska -  KKS Polonia Warszawa Emocje TV - 2026-01-10 19:55,,10.01.2026 20:00,10.01.2026 20:00  78:84
Decka Pelplin -  Miners Katowice Emocje TV - 2026-01-11 14:55,,11.01.2026 15:00,11.01.2026 15:00  80:73
Żubry Abakus Okna Białystok -  Solvera Sokół Łańcut Emocje TV - 2026-01-11 17:55,,11.01.2026 18:00,11.01.2026 18:00  81:89
Enea Abramczyk Astoria Bydgoszcz -  Novimex Polonia 1912 Leszno Emocje TV - 2026-01-11 17:55,,11.01.2026 18:00,11.01.2026 18:00  107:101
WKK Active Hotel Wrocław -  ŁKS Coolpack Łódź Emocje TV - 2026-01-16 18:55,,16.01.2026 19:00,16.01.2026 19:00  81:99
KKS Polonia Warszawa -  Enea Abramczyk Astoria Bydgoszcz Emocje TV - 2026-01-16 18:55,,16.01.2026 19:00,16.01.2026 19:00  80:88
Novimex Polonia 1912 Leszno -  Żubry Abakus Okna Białystok Emocje TV - 2026-01-16 18:55,,16.01.2026 19:00,16.01.2026 19:00  67:66
GKS Tychy -  OPTeam Energia Polska Resovia Emocje TV - 2026-01-17 17:55,,17.01.2026 18:00,17.01.2026 18:00  87:76
SKS Fulimpex Starogard Gdański -  Miners Katowice Emocje TV - 2026-01-17 17:55,,17.01.2026 18:00,17.01.2026 18:00  88:79
PGE Spójnia Stargard -  Decka Pelplin Emocje TV - 2026-01-17 19:55,,17.01.2026 20:00,17.01.2026 20:00  92:90
KSK Qemetica Noteć Inowrocław -  Weegree AZS Politechnika Opolska Emocje TV - 2026-01-17 19:55,,17.01.2026 20:00,17.01.2026 20:00  75:82
Solvera Sokół Łańcut -  Enea Basket Poznań Emocje TV - 2026-01-18 17:55,,18.01.2026 18:00,18.01.2026 18:00  90:77
Decka Pelplin -  SKS Fulimpex Starogard Gdański Emocje TV - 2026-01-21 16:55,,21.01.2026 17:00,21.01.2026 17:00  92:80
Weegree AZS Politechnika Opolska -  WKK Active Hotel Wrocław Emocje TV - 2026-01-21 17:55,,21.01.2026 18:00,21.01.2026 18:00  70:89
Kotwica Port Morski Kołobrzeg -  PGE Spójnia Stargard Emocje TV - 2026-01-21 17:55,,21.01.2026 18:00,21.01.2026 18:00  97:53
Miners Katowice -  GKS Tychy Emocje TV - 2026-01-21 18:55,,21.01.2026 19:00,21.01.2026 19:00  73:75
Enea Basket Poznań -  Novimex Polonia 1912 Leszno Emocje TV - 2026-01-21 19:55,,21.01.2026 20:00,21.01.2026 20:00  83:72
Enea Abramczyk Astoria Bydgoszcz -  KSK Qemetica Noteć Inowrocław Emocje TV - 2026-01-21 19:55,,21.01.2026 20:00,21.01.2026 20:00  108:92
OPTeam Energia Polska Resovia -  Solvera Sokół Łańcut Emocje TV - 2026-01-22 18:55,,22.01.2026 19:00,22.01.2026 19:00  94:96
Żubry Abakus Okna Białystok -  KKS Polonia Warszawa Emocje TV - 2026-04-02 17:55,,02.04.2026 18:00,02.04.2026 18:00  --:--
Kotwica Port Morski Kołobrzeg -  Decka Pelplin Emocje TV - 2026-01-24 14:55,,24.01.2026 15:00,24.01.2026 15:00  86:72
KKS Polonia Warszawa -  Enea Basket Poznań Emocje TV - 2026-01-24 14:55,,24.01.2026 15:00,24.01.2026 15:00  75:76
Solvera Sokół Łańcut -  Miners Katowice Emocje TV - 2026-01-24 17:55,,24.01.2026 18:00,24.01.2026 18:00  91:84
GKS Tychy -  SKS Fulimpex Starogard Gdański Emocje TV - 2026-01-24 17:55,,24.01.2026 18:00,24.01.2026 18:00  70:83
PGE Spójnia Stargard -  ŁKS Coolpack Łódź Emocje TV - 2026-01-24 19:55,,24.01.2026 20:00,24.01.2026 20:00  84:68
KSK Qemetica Noteć Inowrocław -  Żubry Abakus Okna Białystok Emocje TV - 2026-01-25 14:55,,25.01.2026 15:00,25.01.2026 15:00  80:81
Enea Abramczyk Astoria Bydgoszcz -  WKK Active Hotel Wrocław Emocje TV - 2026-01-25 17:55,,25.01.2026 18:00,25.01.2026 18:00  91:79
Novimex Polonia 1912 Leszno -  OPTeam Energia Polska Resovia Emocje TV - 2026-01-25 17:55,,25.01.2026 18:00,25.01.2026 18:00  78:74
Enea Basket Poznań -  KSK Qemetica Noteć Inowrocław Emocje TV - 2026-01-31 14:55,,31.01.2026 15:00,31.01.2026 15:00  81:75
Weegree AZS Politechnika Opolska -  PGE Spójnia Stargard Emocje TV - 2026-01-31 14:55,,31.01.2026 15:00,31.01.2026 15:00  77:73
SKS Fulimpex Starogard Gdański -  Solvera Sokół Łańcut Emocje TV - 2026-01-31 17:55,,31.01.2026 18:00,31.01.2026 18:00  78:86
OPTeam Energia Polska Resovia -  KKS Polonia Warszawa Emocje TV - 2026-01-31 17:55,,31.01.2026 18:00,31.01.2026 18:00  100:95
Miners Katowice -  Novimex Polonia 1912 Leszno Emocje TV - 2026-02-01 14:55,,01.02.2026 15:00,01.02.2026 15:00  100:92
Decka Pelplin -  GKS Tychy Emocje TV - 2026-02-01 17:55,,01.02.2026 18:00,01.02.2026 18:00  73:76
Żubry Abakus Okna Białystok -  WKK Active Hotel Wrocław Emocje TV - 2026-02-04 18:55,,04.02.2026 19:00,04.02.2026 19:00  80:90
ŁKS Coolpack Łódź -  Kotwica Port Morski Kołobrzeg Emocje TV - 2026-04-02 18:55,,02.04.2026 19:00,02.04.2026 19:00  --:--
Kotwica Port Morski Kołobrzeg -  Weegree AZS Politechnika Opolska Emocje TV - 2026-02-07 14:55,,07.02.2026 15:00,07.02.2026 15:00  79:76
WKK Active Hotel Wrocław -  Enea Basket Poznań Emocje TV - 2026-02-07 14:55,,07.02.2026 15:00,07.02.2026 15:00  82:76
ŁKS Coolpack Łódź -  Decka Pelplin Emocje TV - 2026-02-07 17:55,,07.02.2026 18:00,07.02.2026 18:00  95:81
Solvera Sokół Łańcut -  GKS Tychy Emocje TV - 2026-02-07 17:55,,07.02.2026 18:00,07.02.2026 18:00  71:80
KSK Qemetica Noteć Inowrocław -  OPTeam Energia Polska Resovia Emocje TV - 2026-02-08 14:55,,08.02.2026 15:00,08.02.2026 15:00  89:55
KKS Polonia Warszawa -  Miners Katowice Emocje TV - 2026-02-08 14:55,,08.02.2026 15:00,08.02.2026 15:00  75:68
PGE Spójnia Stargard -  Enea Abramczyk Astoria Bydgoszcz Emocje TV - 2026-02-08 17:55,,08.02.2026 18:00,08.02.2026 18:00  69:80
Novimex Polonia 1912 Leszno -  SKS Fulimpex Starogard Gdański Emocje TV - 2026-02-08 17:55,,08.02.2026 18:00,08.02.2026 18:00  72:97
Decka Pelplin -  Solvera Sokół Łańcut Emocje TV - 2026-02-13 17:55,,13.02.2026 18:00,13.02.2026 18:00  --:--
